Article #,URL,Priority,Status,Main Topic 1,Subtopic 2,Subtopic 3,Subtopic 4 / Individual Page,Keyword,Search Volume,CPC,UNIQUE TOPICS,SERP Analysis Keyword Difficulty,Search Intent,Content Type,Buyer's Journey,Date Published,Updated Date,Author
,kien-thuc/dau-tu/phan-tich-co-ban/he-so-kha-nang-thanh-toan-lai-vay,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,hệ số khả năng thanh toán lãi vay,hệ số khả năng thanh toán lãi vay,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/no-dai-han-tren-von-chu-so-huu,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,nợ dài hạn trên vốn chủ sở hữu,nợ dài hạn trên vốn chủ sở hữu,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/he-so-thanh-toan-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Hệ số thanh toán là gì,Hệ số thanh toán là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/so-ngay-phai-tra-chua-thanh-toan,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Số ngày phải trả chưa thanh toán,Số ngày phải trả chưa thanh toán,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/thoi-gian-thu-hoi-tien-hang-ton-dong,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Thời gian thu hồi tiền hàng tồn đọng,Thời gian thu hồi tiền hàng tồn đọng,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/vong-quay-tong-tai-san,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,vòng quay tổng tài sản,vòng quay tổng tài sản,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/vong-quay-tai-san-co-dinh,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,vòng quay tài sản cố định,vòng quay tài sản cố định,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/vong-quay-von-luu-dong,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,vòng quay vốn lưu động,vòng quay vốn lưu động,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/vong-quay-khoan-phai-tra-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Vòng quay khoản phải trả là gì,Vòng quay khoản phải trả là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/roic-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,roic là gì,roic là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chi-so-eps-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chỉ số eps là gì,chỉ số eps là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/ty-suat-co-tuc-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,tỷ suất cổ tức là gì,tỷ suất cổ tức là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/ty-le-don-bay-tai-chinh,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,tỷ lệ đòn bẩy tài chính,tỷ lệ đòn bẩy tài chính,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/p/b-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,p/b là gì,p/b là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/co-cau-von-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,cơ cấu vốn là gì,cơ cấu vốn là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/no-phai-tra-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Nợ phải trả là gì,Nợ phải trả là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/bien-loi-nhuan-gop-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,biên lợi nhuận gộp là gì,biên lợi nhuận gộp là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/bien-loi-nhuan-rong,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,biên lợi nhuận ròng,biên lợi nhuận ròng,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/ebitda-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,EBITDA là gì,EBITDA là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/roa-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,roa là gì,roa là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/current-ratio-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,current ratio là gì,current ratio là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/von-chu-so-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,vốn chủ sở là gì,vốn chủ sở là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chi-so-roe-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chỉ số roe là gì,chỉ số roe là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/gia-tri-noi-tai-cua-co-phieu,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,giá trị nội tại của cổ phiếu,giá trị nội tại của cổ phiếu,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/von-luu-dong-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Vốn lưu động là gì,Vốn lưu động là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/thang-du-von-co-phan-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,thặng dư vốn cổ phần là gì,thặng dư vốn cổ phần là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/phan-tich-bao-cao-tai-chinh-vinamilk,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Phân tích báo cáo tài chính Vinamilk,Phân tích báo cáo tài chính Vinamilk,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/phan-tich-bao-cao-tai-chinh-fpt,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Phân tích báo cáo tài chính FPT,Phân tích báo cáo tài chính FPT,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/phan-tich-bao-cao-tai-chinh-mwg,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,phân tích báo cáo tài chính mwg,phân tích báo cáo tài chính mwg,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/phan-tich-bao-cao-tai-chinh-hoa-phat,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,phân tích báo cáo tài chính hòa phát,phân tích báo cáo tài chính hòa phát,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/phan-tich-bao-cao-tai-chinh-vietcombank,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,phân tích báo cáo tài chính vietcombank,phân tích báo cáo tài chính vietcombank,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/phan-tich-bao-cao-tai-chinh-vingroup,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Phân tích báo cáo tài chính Vingroup,Phân tích báo cáo tài chính Vingroup,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/phan-tich-bao-cao-tai-chinh-pnj,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Phân tích báo cáo tài chính PNJ,Phân tích báo cáo tài chính PNJ,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/phan-tich-bao-cao-tai-chinh-cong-ty-bibica,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Phân tích báo cáo tài chính Công ty Bibica,Phân tích báo cáo tài chính Công ty Bibica,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/phan-tich-bao-cao-tai-chinh-cong-ty-kinh-do,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Phân tích báo cáo tài chính Công ty Kinh Đô,Phân tích báo cáo tài chính Công ty Kinh Đô,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chuoi-gia-tri-nganh-thep,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chuỗi giá trị ngành thép,chuỗi giá trị ngành thép,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chuoi-gia-tri-nganh-dau-khi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chuỗi giá trị ngành dầu khí,chuỗi giá trị ngành dầu khí,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chuoi-gia-tri-nganh-det-may,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chuỗi giá trị ngành dệt may,chuỗi giá trị ngành dệt may,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chuoi-gia-tri-nganh-cao-su,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chuỗi giá trị ngành cao su,chuỗi giá trị ngành cao su,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chuoi-gia-tri-nganh-dien,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chuỗi giá trị ngành điện,chuỗi giá trị ngành điện,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chuoi-gia-tri-nganh-xay-dung,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chuỗi giá trị ngành xây dựng,chuỗi giá trị ngành xây dựng,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chuoi-gia-tri-nganh-phan-bon,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chuỗi giá trị ngành phân bón,chuỗi giá trị ngành phân bón,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chuoi-gia-tri-nganh-ngan-hang,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chuỗi giá trị ngành ngân hàng,chuỗi giá trị ngành ngân hàng,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chuoi-gia-tri-nganh-nhua,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chuỗi giá trị ngành nhựa,chuỗi giá trị ngành nhựa,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chuoi-gia-tri-nganh-bat-dong-san,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chuỗi giá trị ngành bất động sản,chuỗi giá trị ngành bất động sản,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/cach-phan-tich-bao-cao-tai-chinh,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,cách phân tích báo cáo tài chính,cách phân tích báo cáo tài chính,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/vong-quay-khoan-phai-thu,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,vòng quay khoản phải thu,vòng quay khoản phải thu,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/dong-tien-tu-hoat-dong-kinh-doanh,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,dòng tiền từ hoạt động kinh doanh,dòng tiền từ hoạt động kinh doanh,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/von-dieu-le-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,vốn điều lệ là gì,vốn điều lệ là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/capex-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,capex là gì,capex là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/chung-khoan/thi-truong-phan-hoa,,Researching,Kiến thức,đầu tư,chứng khoán,Thị trường phân hóa,Thị trường phân hóa,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/tin-dung-doanh-nghiep-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Tín dụng doanh nghiệp là gì,Tín dụng doanh nghiệp là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/m&a-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,M&A là gì,M&A là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/phan-tich-dupont-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Phân tích Dupont là gì,Phân tích Dupont là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chi-tieu-doanh-thu,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chỉ tiêu doanh thu,chỉ tiêu doanh thu,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/cach-doc-bao-cao-thuong-nien,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,cách đọc báo cáo thường niên,cách đọc báo cáo thường niên,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chi-phi-bien-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Chi phí biên là gì,Chi phí biên là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/von-co-phan-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Vốn cổ phần là gì,Vốn cổ phần là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chi-tieu-loi-nhuan-cua-doanh-nghiep,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chỉ tiêu lợi nhuận của doanh nghiệp,chỉ tiêu lợi nhuận của doanh nghiệp,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/cach-doc-bao-cao-tai-chinh,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,cách đọc báo cáo tài chính,cách đọc báo cáo tài chính,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/roce-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,ROCE là gì,ROCE là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/gia-tri-doanh-nghiep-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,giá trị doanh nghiệp là gì,giá trị doanh nghiệp là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/von-phap-dinh-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Vốn pháp định là gì,Vốn pháp định là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/diem-hoa-von-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Điểm hòa vốn là gì,Điểm hòa vốn là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/chung-khoan/khi-nao-nen-ban-co-phieu,,Researching,Kiến thức,đầu tư,chứng khoán,khi nào nên bán cổ phiếu,khi nào nên bán cổ phiếu,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/bang-can-doi-ke-toan-nguon-von,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,bảng cân đối kế toán nguồn vốn,bảng cân đối kế toán nguồn vốn,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/vong-quay-hang-ton-kho-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Vòng quay hàng tồn kho là gì,Vòng quay hàng tồn kho là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/bao-cao-luu-chuyen-tien-te-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Báo cáo lưu chuyển tiền tệ là gì,Báo cáo lưu chuyển tiền tệ là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/quy-luat-gia-tri,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,quy luật giá trị,quy luật giá trị,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/fed-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,fed là gì,fed là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/do-co-gian-cua-cau-theo-gia,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,độ co giãn của cầu theo giá,độ co giãn của cầu theo giá,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/npv-va-irr-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,npv và irr là gì,npv và irr là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/su-kien-thien-nga-den,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,sự kiện thiên nga đen,sự kiện thiên nga đen,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/brexit-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,brexit là gì,brexit là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/canh-tranh-hoan-hao-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Cạnh tranh hoàn hảo là gì,Cạnh tranh hoàn hảo là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/canh-tranh-doc-quyen,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,cạnh tranh độc quyền,cạnh tranh độc quyền,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/yoy-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,YOY là gì,YOY là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/quan-ly-thi-truong,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,quản lý thị trường,quản lý thị trường,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/goodwill-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,goodwill là gì,goodwill là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/cach-dinh-gia-co-phieu,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,cách định giá cổ phiếu,cách định giá cổ phiếu,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/nim-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,nim là gì,nim là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/chung-khoan/cac-sai-lam-dan-toi-pha-san-trong-dau-tu-chung-khoan,,Researching,Kiến thức,đầu tư,chứng khoán,Các sai lầm dẫn tới phá sản trong đầu tư chứng khoán,Các sai lầm dẫn tới phá sản trong đầu tư chứng khoán,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chu-ky-co-phieu,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chu kỳ cổ phiếu,chu kỳ cổ phiếu,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/doanh-nghiep-mua-lai-co-phieu-de-lam-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Doanh nghiệp mua lại cổ phiếu để làm gì,Doanh nghiệp mua lại cổ phiếu để làm gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/canh-tranh-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,cạnh tranh là gì,cạnh tranh là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/chung-khoan/chien-luoc-giao-dich,,Researching,Kiến thức,đầu tư,chứng khoán,chiến lược giao dịch,chiến lược giao dịch,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/casa-trong-nganh-ngan-hang-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,CASA trong ngành ngân hàng là gì,CASA trong ngành ngân hàng là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/khi-nao-nen-mua-co-phieu,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Khi nào nên mua cổ phiếu,Khi nào nên mua cổ phiếu,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/cac-chi-so-danh-gia-co-phieu-tot,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,các chỉ số đánh giá cổ phiếu tốt,các chỉ số đánh giá cổ phiếu tốt,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/can-can-vang-lai-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,cán cân vãng lai là gì,cán cân vãng lai là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/duong-cong-loi-suat-dao-nguoc,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Đường cong lợi suất đảo ngược,Đường cong lợi suất đảo ngược,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/rui-ro-thanh-khoan-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,rủi ro thanh khoản là gì,rủi ro thanh khoản là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/cir-ngan-hang-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,cir ngân hàng là gì,cir ngân hàng là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/he-so-tuong-quan,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,hệ số tương quan,hệ số tương quan,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/phuong-phap-top-down,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,phương pháp top down,phương pháp top down,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/canh-tranh-khong-hoan-hao,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,cạnh tranh không hoàn hảo,cạnh tranh không hoàn hảo,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chi-phi-co-hoi-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Chi phí cơ hội là gì,Chi phí cơ hội là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chinh-sach-tien-te-noi-long,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chính sách tiền tệ nới lỏng,chính sách tiền tệ nới lỏng,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/khung-hoang-tai-chinh-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,khủng hoảng tài chính là gì,khủng hoảng tài chính là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/co-hoi-thi-truong-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,cơ hội thị trường là gì,cơ hội thị trường là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/mo-hinh-kinh-doanh-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Mô hình kinh doanh là gì,Mô hình kinh doanh là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chu-ky-kinh-te-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Chu kỳ kinh tế là gì,Chu kỳ kinh tế là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/ly-thuyet-tro-choi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,lý thuyết trò chơi,lý thuyết trò chơi,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/loi-the-canh-tranh-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,lợi thế cạnh tranh là gì,lợi thế cạnh tranh là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chi-phi-co-dinh,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chi phí cố định,chi phí cố định,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chu-ky-co-nghia-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chu kỳ có nghĩa là gì,chu kỳ có nghĩa là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/bay-thanh-khoan,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,bẫy thanh khoản,bẫy thanh khoản,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/bong-bong-dotcom-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Bong bóng dotcom là gì,Bong bóng dotcom là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chien-luoc-thi-truong-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chiến lược thị trường là gì,chiến lược thị trường là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/no-xau-trong-cac-co-phieu-nganh-ngan-hang,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Nợ xấu trong các cổ phiếu ngành ngân hàng,Nợ xấu trong các cổ phiếu ngành ngân hàng,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/chi-so-nim-cua-ngan-hang-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,chỉ số nim của ngân hàng là gì,chỉ số nim của ngân hàng là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/phuong-phap-canslim,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,phương pháp canslim,phương pháp canslim,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/sach-ve-dau-tu-gia-tri,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,sách về đầu tư giá trị,sách về đầu tư giá trị,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/dau-tu-gia-tri-va-dau-tu-tang-truong,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,đầu tư giá trị và đầu tư tăng trưởng,đầu tư giá trị và đầu tư tăng trưởng,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-co-ban/mo-hinh-capm-la-gi,,Researching,Kiến thức,đầu tư,Phân tích cơ bản,Mô hình CAPM là gì,Mô hình CAPM là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-ky-thuat/chi-bao-bollinger-bands-width,,Researching,Kiến thức,đầu tư,Phân tích kỹ thuật,chỉ báo bollinger bands width,chỉ báo bollinger bands width,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-ky-thuat/chi-bao-bollinger-bands,,Researching,Kiến thức,đầu tư,Phân tích kỹ thuật,chỉ báo Bollinger Bands,chỉ báo Bollinger Bands,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-ky-thuat/chi-bao-bollinger-bands-b,,Researching,Kiến thức,đầu tư,Phân tích kỹ thuật,chỉ báo bollinger bands b,chỉ báo bollinger bands b,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-ky-thuat/chi-bao-bollinger-band-squeeze-la-gi,,Researching,Kiến thức,đầu tư,Phân tích kỹ thuật,Chỉ báo Bollinger Band Squeeze là gì,Chỉ báo Bollinger Band Squeeze là gì,,,TRUE,,,,,,,
,kien-thuc/dau-tu/phan-tich-ky-thuat/chi-bao-cci-la-gi,,Researching,Kiến thức,đầu tư,Phân tích kỹ thuật,chỉ báo cci là gì,chỉ báo cci là gì,,,TRUE,,,,,,,
